dataName,classifier,percent,score,OmniScore,Type1-A/A/Good,Type2-A/B/Bad,Type3-A/B/Good,Type4-A/A/Bad
2013,baseline,0.10255643593960233,1372.0,13378,2855.0,0.0,0.0,3654.0
2013,"svmClassifier, C=0, kernel: rbf)",-0.059500672746299894,-796.0,13378,1237.0,2058.0,1618.0,1596.0
2013,"svmClassifier, C=1, kernel: rbf)",-0.03483330841680371,-466.0,13378,1274.0,2063.0,1581.0,1591.0
2013,"svmClassifier, C=10, kernel: rbf)",-0.028554342951113768,-382.0,13378,1287.0,2054.0,1568.0,1600.0
2014,baseline,0.0628374677204789,803.0,12779,2634.0,0.0,0.0,3610.0
2014,"svmClassifier, C=0, kernel: rbf)",-0.0777056107676657,-993.0,12779,1064.0,2071.0,1570.0,1539.0
2014,"svmClassifier, C=1, kernel: rbf)",0.15627200876437905,1997.0,12779,1666.0,1860.0,968.0,1750.0
2014,"svmClassifier, C=10, kernel: rbf)",0.15314187338602395,1957.0,12779,1659.0,1859.0,975.0,1751.0
2015,baseline,0.040725105537621056,328.0,8054,1621.0,0.0,0.0,2342.0
2015,"svmClassifier, C=0, kernel: rbf)",-0.07549043953315122,-608.0,8054,640.0,1343.0,981.0,999.0
2015,"svmClassifier, C=1, kernel: rbf)",0.04718152470821952,380.0,8054,791.0,1356.0,830.0,986.0
2015,"svmClassifier, C=10, kernel: rbf)",0.05165135336478768,416.0,8054,810.0,1332.0,811.0,1010.0
