dataName,classifier,percent,score,OmniScore,Type1-A/A/Good,Type2-A/B/Bad,Type3-A/B/Good,Type4-A/A/Bad
2013,baseline,0.10255643593960233,1372.0,13378,2855.0,0.0,0.0,3654.0
2013,"svmClassifier, C=0, kernel: sigmoid)",-0.059500672746299894,-796.0,13378,1238.0,2057.0,1617.0,1597.0
2013,"svmClassifier, C=1, kernel: sigmoid)",-0.059500672746299894,-796.0,13378,1238.0,2057.0,1617.0,1597.0
2013,"svmClassifier, C=10, kernel: sigmoid)",-0.059500672746299894,-796.0,13378,1238.0,2057.0,1617.0,1597.0
2014,baseline,0.0628374677204789,803.0,12779,2634.0,0.0,0.0,3610.0
2014,"svmClassifier, C=0, kernel: sigmoid)",-0.07645355661632365,-977.0,12779,1067.0,2071.0,1567.0,1539.0
2014,"svmClassifier, C=1, kernel: sigmoid)",-0.07645355661632365,-977.0,12779,1067.0,2071.0,1567.0,1539.0
2014,"svmClassifier, C=10, kernel: sigmoid)",-0.07645355661632365,-977.0,12779,1067.0,2071.0,1567.0,1539.0
2015,baseline,0.040725105537621056,328.0,8054,1621.0,0.0,0.0,2342.0
2015,"svmClassifier, C=0, kernel: sigmoid)",-0.0779736776756891,-628.0,8054,640.0,1338.0,981.0,1004.0
2015,"svmClassifier, C=1, kernel: sigmoid)",-0.0779736776756891,-628.0,8054,640.0,1338.0,981.0,1004.0
2015,"svmClassifier, C=10, kernel: sigmoid)",-0.0779736776756891,-628.0,8054,640.0,1338.0,981.0,1004.0
