season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2013,1,2013-09-05T19:30:00-05:00,DEN,49,27,BAL
2013,1,2013-09-08T12:00:00-05:00,CHI,24,21,CIN
2013,1,2013-09-08T12:00:00-05:00,BUF,21,23,NE
2013,1,2013-09-08T12:00:00-05:00,CLE,10,23,MIA
2013,1,2013-09-08T12:00:00-05:00,IND,21,17,OAK
2013,1,2013-09-08T12:00:00-05:00,JAC,2,28,KC
2013,1,2013-09-08T12:00:00-05:00,NYJ,18,17,TB
2013,1,2013-09-08T12:00:00-05:00,DET,34,24,MIN
2013,1,2013-09-08T12:00:00-05:00,CAR,7,12,SEA
2013,1,2013-09-08T12:00:00-05:00,NO,23,17,ATL
2013,1,2013-09-08T12:00:00-05:00,PIT,9,16,TEN
2013,1,2013-09-08T15:25:00-05:00,SF,34,28,GB
2013,1,2013-09-08T15:25:00-05:00,STL,27,24,ARI
2013,1,2013-09-08T19:30:00-05:00,DAL,36,31,NYG
2013,1,2013-09-09T18:10:00-05:00,WAS,27,33,PHI
2013,1,2013-09-09T21:20:00-05:00,SD,28,31,HOU
2013,2,2013-09-12T19:25:00-05:00,NE,13,10,NYJ
2013,2,2013-09-15T12:00:00-05:00,CHI,31,30,MIN
2013,2,2013-09-15T12:00:00-05:00,BUF,24,23,CAR
2013,2,2013-09-15T12:00:00-05:00,KC,17,16,DAL
2013,2,2013-09-15T12:00:00-05:00,IND,20,24,MIA
2013,2,2013-09-15T12:00:00-05:00,PHI,30,33,SD
2013,2,2013-09-15T12:00:00-05:00,ATL,31,24,STL
2013,2,2013-09-15T12:00:00-05:00,GB,38,20,WAS
2013,2,2013-09-15T12:00:00-05:00,BAL,14,6,CLE
2013,2,2013-09-15T12:00:00-05:00,HOU,30,24,TEN
2013,2,2013-09-15T15:05:00-05:00,TB,14,16,NO
2013,2,2013-09-15T15:05:00-05:00,ARI,25,21,DET
2013,2,2013-09-15T15:25:00-05:00,NYG,23,41,DEN
2013,2,2013-09-15T15:25:00-05:00,OAK,19,9,JAC
